,evidences,final_pops,net_evidences,nets,posteriors,probs,Experiment,exp_id
4,0.75,0.6,0.7222222222222222,4-b7d0390f-rounds-10-evidence-4-population-5,0.9984798754563001,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
5,0.75,0.4,0.5277777777777778,4-b7d0390f-rounds-10-evidence-4-population-5,0.6923076923076922,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
6,0.25,0.4,0.5833333333333334,4-b7d0390f-rounds-10-evidence-4-population-5,0.9192938209331651,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
7,0.5,0.0,0.4166666666666667,4-b7d0390f-rounds-10-evidence-4-population-5,0.08070617906683486,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
8,0.5,0.4,0.3611111111111111,5-b7d0390f-rounds-10-evidence-4-population-5,0.017045927454929853,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
9,0.5,0.0,0.5,5-b7d0390f-rounds-10-evidence-4-population-5,0.5,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
10,0.75,0.4,0.3888888888888889,5-b7d0390f-rounds-10-evidence-4-population-5,0.037553175883819886,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
11,0.25,0.0,0.6666666666666666,5-b7d0390f-rounds-10-evidence-4-population-5,0.9923516022235626,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
12,0.75,0.6,0.5555555555555556,5-b7d0390f-rounds-10-evidence-4-population-5,0.8350515463917525,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
13,0.75,0.4,0.5833333333333334,5-b7d0390f-rounds-10-evidence-4-population-5,0.9192938209331651,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
14,0.5,0.6,0.6111111111111112,5-b7d0390f-rounds-10-evidence-4-population-5,0.9624468241161801,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
15,0.25,0.0,0.3888888888888889,5-b7d0390f-rounds-10-evidence-4-population-5,0.037553175883819886,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
16,0.5,0.4,0.5277777777777778,6-b7d0390f-rounds-10-evidence-4-population-5,0.6923076923076922,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
17,0.75,0.2,0.5,6-b7d0390f-rounds-10-evidence-4-population-5,0.5,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
18,0.75,0.6,0.4444444444444444,6-b7d0390f-rounds-10-evidence-4-population-5,0.16494845360824748,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
19,0.75,0.6,0.5555555555555556,6-b7d0390f-rounds-10-evidence-4-population-5,0.8350515463917525,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
20,0.5,0.4,0.3333333333333333,6-b7d0390f-rounds-10-evidence-4-population-5,0.007648397776437493,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
21,0.75,0.6,0.7222222222222222,6-b7d0390f-rounds-10-evidence-4-population-5,0.9984798754563001,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
22,0.25,0.0,0.3611111111111111,6-b7d0390f-rounds-10-evidence-4-population-5,0.017045927454929853,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
23,0.5,0.2,0.5555555555555556,6-b7d0390f-rounds-10-evidence-4-population-5,0.8350515463917525,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
24,0.5,0.4,0.5277777777777778,7-b7d0390f-rounds-10-evidence-4-population-5,0.6923076923076922,0.6,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
25,0.25,0.2,0.4444444444444444,7-b7d0390f-rounds-10-evidence-4-population-5,0.16494845360824748,0.4,Experiment-4,b7d0390f-rounds-10-evidence-4-population-5
