id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
37,2018-01-20 18:14:20.038381,,,,,,f,,participant,37,3Z7VU45IPZAVEPC2MPFFN7F8443Z1G,37:3Z7VU45IPZAVEPC2MPFFN7F8443Z1G,3N5YJ55YXGWU44DPPISCF15H0GMNAC,live,2018-01-20 18:24:06.082169,1.8,0,approved
9,2018-01-20 09:01:15.537672,,,,,,f,,participant,9,3EWIJTFFVP0XW50OUJX2OSVGB550EN,9:3EWIJTFFVP0XW50OUJX2OSVGB550EN,3AXFSPQOYQRTH53CL0MC0VZROCQJFD,live,2018-01-20 09:07:15.180688,1.8,0,approved
38,2018-01-20 18:24:47.235182,,,,,,f,,participant,38,3TY7ZAOG5GD0I5SYQ585MN8LV3L0KT,38:3TY7ZAOG5GD0I5SYQ585MN8LV3L0KT,3MA5N0ATTC4Q3BVPTAWO5YL4Y4KKWF,live,2018-01-20 18:37:27.493148,1.8,0,approved
10,2018-01-20 09:08:59.65726,,,,,,f,,participant,10,3ATPCQ38J93R3NFXMM6PK1Z923MAY3,10:3ATPCQ38J93R3NFXMM6PK1Z923MAY3,3Z56AA6EK4TNZKGMN4W0MHEVZ7IM6H,live,2018-01-20 09:16:16.497845,1.8,0,approved
39,2018-01-20 18:47:32.646979,,,,,,f,,participant,39,3STRJBFXOXK1YEPPO7WF6YAQSEITKY,39:3STRJBFXOXK1YEPPO7WF6YAQSEITKY,371QPA24C2HW5T59QVLVDZI6L42T1V,live,2018-01-20 18:57:50.619285,1.8,0,approved
14,2018-01-20 11:40:42.332209,,,,,,f,,participant,14,3XUHV3NRVLR8BMDRHQBKQQOKKT9H56,14:3XUHV3NRVLR8BMDRHQBKQQOKKT9H56,3T2HW4QDUV0X8H6T8M5Y3V0LVUMC90,live,2018-01-20 11:44:45.788178,1.8,0,approved
11,2018-01-20 09:51:36.163196,,,,,,f,,participant,11,39O5D9O87ULEGZF7HF9Q02TKT5C3CS,11:39O5D9O87ULEGZF7HF9Q02TKT5C3CS,3E6L1VR4XWFHTAO51HSNRRUM266F63,live,2018-01-20 09:55:17.620046,1.8,0,approved
41,2018-01-20 19:56:05.833967,,,,,,f,,participant,41,3JMSRU9HQJNDP614XGLR9LL6522VEW,41:3JMSRU9HQJNDP614XGLR9LL6522VEW,371DNNCG44VEGTPUPGUAS95EZA8T8F,live,2018-01-20 20:02:54.159355,1.8,0,approved
15,2018-01-20 11:46:11.715325,,,,,,f,,participant,15,3LOZAJ85YE6DYFUJ4BR8V592O922XK,15:3LOZAJ85YE6DYFUJ4BR8V592O922XK,3NFWQRSHVE7JQ3DBDU193I7BWK9FG5,live,2018-01-20 11:52:40.959959,1.8,0,approved
42,2018-01-20 20:46:23.861976,,,,,,f,,participant,42,32RIADZISTXF5CN7EF49PCP8T9GS4K,42:32RIADZISTXF5CN7EF49PCP8T9GS4K,3MWOYZD5WVHJ687QZ1XUGWPMPXQONC,live,2018-01-20 20:52:52.201518,1.8,0,approved
