,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
38,0.65,0.625,0.5,0.995324187782666,0.6,cewab,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.9,0.5744444444444444,0.6380869732909074
39,0.7,0.6666666666666666,0.5,0.9986595768185553,0.55,edarti,6,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.45,0.49069444444444443,0.5572074569671879
40,0.75,0.6785714285714286,0.25,0.9997064750480811,0.35,uthug,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.9,0.3103241296518607,0.3349920271330583
41,0.3333333333333333,0.35714285714285715,0.5,0.041423048988823576,0.4,arpoep,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.45,0.49069444444444443,0.5572074569671879
42,0.625,0.6071428571428571,0.5,0.9964161537573425,0.5,azzitha,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.1,0.4255555555555556,0.4917644698565554
43,0.5833333333333334,0.6071428571428571,0.75,0.9964161537573425,0.8,thuevil,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.55,0.7569148204210816,0.825929966566954
44,0.625,0.6071428571428571,0.5,0.9964161537573425,0.35,noviid,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.6,0.5186111111111111,0.5845649568259095
45,0.625,0.5357142857142857,0.0,0.9577993410969766,0.0,paked,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.35,0.0,0.0870462153917257
46,0.625,0.6785714285714286,1.0,0.9997064750480811,0.9,cewab,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.6,1.0,0.9451669039708908
47,0.6666666666666666,0.7142857142857143,1.0,0.9999161181412957,0.95,edarti,7,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.55,1.0,0.9432039225142674
